id,device_name,device_code,ip,status
460,K141+430-右侧-快球摄像机,BA-78-CF_1,13.13.82.33,1
461,K142+445-右侧-快球摄像机,BB-44-08_1,13.13.82.40,1
462,K143+300-右侧-快球摄像机,BB-43-D4_1,13.13.82.50,1
463,K144+160-右侧-快球摄像机,BB-43-DB_1,13.13.82.56,1
464,K145+450-右侧-快球摄像机,BB-44-53_1,13.13.82.74,1
465,K146+451-右侧-快球摄像机,BB-44-50_1,13.13.82.80,1
466,K147+510-右侧-快球摄像机,B8-AB-D0_1,133.13.82.91,1
467,K149+500-右侧-快球摄像机,BB-43-D3_1,13.13.82.107,1
468,K150+625-右侧-快球摄像机,BB-43-DE_1,13.13.82.117,1
469,K151+500-右侧-快球摄像机,BB-44-37_1,13.13.82.128,1
470,K152+420-右侧-快球摄像机,BB-44-57_1,13.13.82.139,1
471,K153+464-右侧-快球摄像机,BB-43-D7_1,13.13.82.148,1
472,K154+200-右侧-快球摄像机,BC-A1-35_1,13.13.82.156,1
473,K155+450-右侧-快球摄像机,BC-A1-24_1,13.13.82.166,1
474,K156+450-右侧-快球摄像机,B8-AB-D5_1,13.13.82.174,1
475,K157+480-右侧-快球摄像机,BB-44-0F_1,13.13.82.183,1
476,K158+450-右侧-快球摄像机,BC-A1-31_1,13.13.82.188,1
477,K159+300-右侧-快球摄像机,BA-78-D5_1,13.13.82.195,1
478,K160+293-右侧-快球摄像机,BC-A1-50_1,13.13.82.205,1
479,K161+450-右侧-快球摄像机,BB-44-03_1,13.13.83.4,1
480,K162+495-右侧-快球摄像机,BB-44-25_1,13.13.83.15,1
481,K163+900-右侧-快球摄像机,BB-43-E7_1,13.13.83.30,1
482,K164+400-右侧-快球摄像机,BB-44-59_1,13.13.83.35,1
483,K165+500-右侧-快球摄像机,BB-44-3F_1,13.13.83.47,1
484,K166+600-右侧-快球摄像机,B8-AB-C7_1,13.13.83.52,1
485,K167+600-右侧-快球摄像机,13-13-83-46,13.13.83.46,1
486,K168+500-右侧-快球摄像机,BC-A1-25_1,13.13.83.54,1
487,K169+450-右侧-快球摄像机,BB-44-43_1,13.13.83.60,1
488,K170+450-右侧-快球摄像机,BC-A1-1B_1,13.13.83.71,1
489,K171+450-右侧-快球摄像机,BC-A1-2E_1,13.13.83.81,1
490,K172+500-右侧-快球摄像机,BC-A1-3D_1,13.13.83.92,1
491,K173+400-右侧-快球摄像机,BB-44-0B_1,13.13.83.106,1
492,K174+500-右侧-快球摄像机,BA-78-CC_1,13.13.83.113,1
493,K175+500-右侧-快球摄像机,BB-44-39_1,13.13.83.125,1
494,K176+530-右侧-快球摄像机,80980160391325063385_1,13.13.83.135,1
495,K177+500-右侧-快球摄像机,BB-44-51_1,13.13.83.141,1
496,K178+500-右侧-快球摄像机,BB-43-F8_1,13.13.83.146,1
497,K179+400-右侧-快球摄像机,13-13-83-154,13.13.83.154,2
498,K180+550-右侧-快球摄像机,BB-44-58_1,13.13.83.165,1
499,K181+478-右侧-快球摄像机,BB-44-34_1,13.13.83.172,1
500,K182+500-右侧-快球摄像机,80585120551324249111_1,13.13.83.184,1
501,K183+509-右侧-快球摄像机,20945391771329851418_1,13.13.83.194,1
